product_id,product_name,category,monthly_sales,repurchase_rate,price,cost,gross_margin,rating,fulfillment_48h_rate,return_rate,scenario_fit_score
P001,Portable Makeup Organizer,Storage,1850,0.62,29.9,13.5,0.55,4.7,0.91,0.08,8.8
P002,Mini Lipstick Set,Beauty,2420,0.48,39.9,21.0,0.47,4.5,0.87,0.12,8.5
P003,Dorm Desk Storage Box,Storage,1680,0.57,24.9,10.2,0.59,4.6,0.93,0.06,9.1
P004,Sunscreen Travel Pack,Beauty,3210,0.51,34.9,18.4,0.47,4.4,0.89,0.10,8.2
P005,Makeup Brush Holder,Storage,960,0.66,19.9,7.8,0.61,4.8,0.95,0.04,8.7
P006,Eyeshadow Palette,Beauty,2740,0.43,49.9,28.0,0.44,4.3,0.84,0.15,7.9
P007,Travel Cosmetic Bag,Storage,2310,0.59,32.9,14.9,0.55,4.7,0.92,0.07,9.0
P008,Oil Control Powder,Beauty,1980,0.54,36.9,17.5,0.53,4.6,0.90,0.09,8.4
P009,Stackable Drawer Organizer,Storage,1220,0.61,27.9,12.1,0.57,4.5,0.88,0.06,8.6
P010,Colored Eyeliner Set,Beauty,1560,0.39,26.9,13.8,0.49,4.2,0.83,0.17,7.5
P011,Compact Mirror with Light,Beauty,1440,0.58,22.9,9.5,0.59,4.7,0.94,0.05,8.9
P012,Under-bed Storage Bag,Storage,880,0.52,39.9,19.6,0.51,4.4,0.86,0.11,7.8
P013,Makeup Sponge Set,Beauty,2950,0.68,18.9,6.9,0.63,4.8,0.96,0.04,9.2
P014,Desktop Shelf Organizer,Storage,1340,0.49,45.9,24.2,0.47,4.3,0.82,0.13,8.0
P015,Student Beauty Starter Kit,Bundle,1160,0.64,59.9,28.5,0.52,4.7,0.90,0.07,9.4
P016,Mini Perfume Atomizer,Beauty,1720,0.45,16.9,6.8,0.60,4.4,0.88,0.10,8.1
P017,Transparent Drawer Divider,Storage,1090,0.63,21.9,8.4,0.62,4.6,0.94,0.05,8.8
P018,Lip Balm Multipack,Beauty,2630,0.72,23.9,9.2,0.62,4.8,0.95,0.04,9.0
P019,Foldable Cosmetic Case,Storage,760,0.44,52.9,29.5,0.44,4.1,0.78,0.18,7.1
P020,Acne Patch Set,Beauty,3380,0.69,15.9,5.1,0.68,4.7,0.97,0.03,9.3
P021,Makeup Remover Wipes,Beauty,2860,0.61,19.9,8.2,0.59,4.5,0.93,0.06,8.6
P022,Rotating Desk Organizer,Storage,640,0.41,49.9,27.6,0.45,4.0,0.76,0.20,7.0
P023,Travel Brush Set,Beauty,1480,0.56,29.9,12.0,0.60,4.6,0.91,0.08,8.7
P024,Hanging Closet Organizer,Storage,1180,0.50,35.9,17.2,0.52,4.3,0.85,0.12,7.9
P025,Campus Makeup Bundle,Bundle,1320,0.67,69.9,31.8,0.55,4.8,0.92,0.06,9.5
